Sample	too_low_aQual	alignment_not_unique	not_aligned	percent_assigned	no_feature	assigned	total_count	ambiguous
B8_0_hr_1_S9_Pos_GeneCount	1581683	1167281	19483898	40.795687050307414	5611839	19446934	47669093	377458
B8_0_hr_4_S11_Pos_GeneCount	1869638	1230085	18231265	42.912737866697306	6385105	21133333	49247226	397800
B8_24hr_1_S12_Pos_GeneCount	1852832	1352191	18612471	43.05924442924018	7017241	22116428	51362787	411624
B8_24hr_2_S13_Pos_GeneCount	1609490	1071740	15557835	43.29225142935978	6696284	19330092	44650235	384794
B8_24hr_3_S14_Pos_GeneCount	1782816	1301145	17663403	44.875394734597926	5507773	21759163	48487959	473659
WT_0_hr_1_S1_Pos_GeneCount	1759321	1070008	22418509	39.136941711449786	7580244	21390472	54655451	436897
WT_0_hr_3_S3_Pos_GeneCount	1683368	945643	18108741	39.95141387265734	9346150	20279076	50759345	396367
WT_24_hr_1_S6_Pos_GeneCount	1631722	1131658	21559060	42.611690983556656	6227827	23048157	54088811	490387
WT_6_hr_2_S5_Pos_GeneCount	1895743	1387822	22694933	39.54946441561619	7963756	22511287	56919322	465781
WT_6_hr_3_S15_Pos_GeneCount	1531888	1153746	18383566	40.57639298791811	6466977	19067997	46992834	388660
