"","Cluster","Count","Mean_logCPM","STDev_logCPM","Mean_Silhouette"
"1",1,6,2738.22740142973,6624.02510005148,0.43809906511778
"2",2,15,5159.77370671385,11395.7347945842,0.314342423577687
"3",3,73,949.03002982228,1155.98326288934,0.257026770055846
"4",4,6,7377.32367206659,12714.7758384847,0.329729324597282
"5",5,6,23798.3594526761,44221.0984957118,0.186615640660288
"6",6,20,986.243170984716,1305.12255986572,0.305508458683994
"7",7,13,705.950497361767,731.114634563107,0.183060768800602
"8",8,10,774.890879427524,1042.38762837556,0.321827735786212
"9",9,1,638.469076396372,731.812353015438,0
"10",10,10,616.863467910027,361.119003745458,0.164296852253461
"11",11,6,471.257883108312,464.30470517668,0.609039019366055
"12",12,6,3160.14205729709,4788.30203759909,0.0701253647882073
"13",13,6,3397.07263767495,1501.05873358982,0.628618702833328
"14",14,2,727.872691579637,236.321992356091,0.0151029648724539
"15",15,3,1259.68407263468,327.14310224937,0.191161475314468
"16",16,4,864.747453613171,359.692714449061,0.247411435547914
"17",17,2,445.25738082527,176.665005055198,0.359318221200983
"18",18,2,1316.95117622423,231.245384009437,0.35582619598446
"19",19,5,753.249666856116,304.975875826058,-0.0272217160741511
"20",20,4,704.100361765097,416.424210177955,0.28808897628569
