"","Cluster","Count","Mean_logCPM","STDev_logCPM","Mean_Silhouette"
"1",1,208,-1.58263979623697e-17,0.971955126175565,-0.0351675586632796
"2",2,503,-1.64681107334659e-17,0.971878988539251,0.141833732881372
"3",3,137,-5.21872318215154e-18,0.972022420629739,0.21333864657428
"4",4,109,-1.91296960110637e-17,0.972073072424911,0.0521657481173555
"5",5,232,1.02319048665489e-17,0.971941695104513,-0.0149279121236705
"6",6,235,-1.97190551683653e-17,0.971940209147883,0.139255244654345
"7",7,39,8.14362669290767e-17,0.972518239471921,0.0703207959434495
"8",8,188,-3.67143727690736e-19,0.971968938850647,0.0231604104521789
"9",9,35,1.56657748667094e-17,0.972597525159275,-0.0257588380715931
"10",10,18,-9.43255053486639e-17,0.973328526784575,0.241144599169797
"11",11,37,6.21361800017488e-17,0.972555737042425,0.101370314408726
"12",12,41,-4.26647511405077e-17,0.972484403923872,0.0719351380903706
"13",13,50,3.70676676081989e-18,0.972365669096902,-0.0051863511965882
"14",14,26,-6.87701561325106e-17,0.972865257588039,0.1867961301772
"15",15,48,2.57981765892961e-17,0.972388203382003,-0.0437813928643235
"16",16,32,2.6197034992681e-17,0.972670014198926,0.0771640559143862
"17",17,7,1.11405215134544e-16,0.975704873412037,0.158891086633951
"18",18,20,3.45295804391373e-17,0.973177891710272,0.0497983048906883
"19",19,23,-4.71126436055274e-17,0.973001148440652,0.0688134358339968
"20",20,12,-4.78956348604476e-17,0.974082752799949,0.00248994781018438
